review,sentiment,predicted
"It's been a long time since I last saw a movie this bad.. The acting is very average, the story is horribly boring, and I'm at a loss for words as to the execution. It was completely unoriginal. O, and this is as much a comedy as Clint Eastwood's a pregnant Schwarzenegger! One of the first scenes (the one with the television show - where the hell are you?) got it right - the cast was 80% of let's face […] script had the potential, but neither 80% of the actors nor the director (who's an actor and clearly should stick to being an actor) pulled it off. Fred Durst was the only one who seemed better than any of the rest. I'm sorry, but if you ever consider watching this - I highly recommend you turn to something less traumatic, because not only it's a total loss of time, but also a weak example of what bad cinema looks like.",negative,negative
"Seen this one in a Sneak Preview yesterday and must say it was terrible. After the credits I thought: ""Hey with this cast it'll probably be pretty good"". Didn't at all turn out that way. Lame predictable groaners, terribly simply drawn characters (maybe except a little Ms. Lara's) and an ending one could foresee 10 minutes into the movie. And worst of all, it misused a delicate theme (handicapped persons) for low level and mostly tasteless jokes without ever touching anything but the surface of the issue. The handicapped person the film sympathises with the most is the one who is just faking it. What kind of message is that? And the film doesn't have a thought through ending at all, it basically comes down to: ""I love you, doesn't matter that you acted like a prick."" To sum it up: Great cast that must have been terribly bored to sign up for a terrible flick.",negative,negative
"The premise of this movie, of a comedian talk show host running for president as an independent just to shake things up, is funny, entertaining, brilliant and even a bit inspiring. (thought about the west wing debate when Tom Dobbs leaves his podium, thought about Steven Colbert announcing his candidacy, good times) The first 15 - 20 minutes of this movie are therefore very very entertaining, the debate especially. When he eventually get's elected, it's a pity that is because […] which we see how it would out if a comedian actually ran the country. Instead, the movie turns from comedy into a thriller, a romantic comedy and a drama and does none good. The computer glitch becomes the main storyline, which really sucks. Boy is this disappointing. I give it 3 stars just for the premise and because I actually managed to watch this movie from start to end without stopping it, which is usually a good thing with me.",negative,negative
"Dear reader, Watch out! This movie is not really a movie, though its creators have the impertinence to call it so. If you have not been warned about its content, here it goes: the film is simply a sequence of imagines which flow continually and are trying to transmit a certain feeling, concept. They could be called, therefore, symbols. The images are accompanied by a soundtrack, it's purpose being to create atmosphere as well. However, the images the director has […] of ""civilized warfare"", it fails to do so not only because of the general chaos, but also because it is far too long and tiresome, and I strongly felt that a lot of the scenes have not to do with ""war"", in whichever conception. To conclude, I was greatly disappointed by a documentary which is not a documentary, a movie which is not a movie, a ""something"" whose only strong point is the extraordinary use of technology in image processing.",negative,negative
"The only other review of this movie as of this date really trashes the stars and the movie itself. I usually like to read the user comments to give me an idea of what to expect from a movie I don't know much about. It's unfortunate when there aren't many comments for a certain tile, because when there is only one review and it unreasonably trashes the movie and cast, you don't get an idea of what to expect. I […] where all the venom for this movie and the stars came from. Douglas and Blondell were both very talented and attractive people who usually delivered, even when the material was not the greatest. I found the movie and the performances fun and enjoyable. It isn't one of the great all-time classics, but a pleasant and funny diversion-much more than you can hope for in most newer movies. If you are a fan of these stars, you will not be disappointed.",positive,positive
"(Spoilers) I was very curious to see this film, after having heard that it was clever and witty. I had to stop halfway because of the unbearable boredom I felt. The idea behind the film would have been acceptable: depicting the way the relationship between a man and a woman evolves, through all the problems and difficulties that two people living in a big city can experience. What made me dislike the whole film were two things. First of all, the film was so down-to-earth that it looked as if, by describing the problems that a couple must solve on a day-to-day basis, it became itself ordinary and dull. Secondly, the overall sloppiness of the production, with dialogues that were barely understandable. Too bad.",negative,negative
"OK, the story - a simpleminded loony enters a life of bored to death young chick and her kid brother and wreaks havoc in their lives - is mildly interesting one. Anyway, ideas are nothing (everyone has some...) - the execution is everything. This is what bothered me with this flick. And it did bother me immensely. The rhythm (directing, editing) was slow, the pace was uneven and the climax expected. We have seen those frigging highways five, six, seven […] would have to think long and hard to find something stupider than that! You do not shoot such a scene with a hidden camera and hidden crew. Creators of that movie probably thought that was a good idea but it was more than annoying. Again, if you're a 16 years old girl somewhere in Kansas nowhere or whatever-where and dream about having sex with a crazy man twice your age, OK, then you might enjoy this movie and its ""message"".",negative,negative
"Every once in a while I will rent an action/adventure film just as a way to relax and occupy my mind with nothing important. This is why I own a copy of Charlie's Angels (2000) - not a quality film, but it makes me laugh and allows me to unwind for a while. One of these days I will probably buy copies of The Princess Bride and a few Monty Python movies for much the same reason. In any case, […] second time. If you are a hard core Xena fan in need of something to wile away a few hours - by all means, go to the grocery store and spend the .50 cents on the rental. There are some strong similarities between the show and this movie. Just don't expect anything more than to be mildly amused for a few hours. Unless, of course, you happen to like Kathy Long's derrière. THEN you might want to purchase a copy.",negative,positive
"A rare lengthy Kinski feature role as Crazy Johnny sex crazed outlaw who is wanted in San Francisco. Kinski's character is obsessed with raping women a sexual predator in the old west who has nothing more but stealing, raping, and killing on his mind. This movie maybe a major disappointment for many Spaghetti Western fans but not for many Klaus Kisnki fans. Overall it had two things going for it a great performance from Klaus Kinski and a great music score by Stelvio Cipriani. Another story line which needed much more work done to it to be impactive but still fun to watch! It would be nice to see this movie redone in the future. Since most old movies are being re-made nowadays.",positive,negative
"Im a big horror fan and I quite enjoyed this remake. With all these horror remakes floating about I think this is one of the better attempts. I watched it with my two little sisters and I think it made it even better as they were quite scared. Also with the shouting at the screen ""Dont do that!"", ""Not that way!"", etc. I thought there were some good little jumpy moments and it built the tension well. Camilla Belle is absolutely stunning in the lead role and a very good actress - So she holds your attention well. Overall a decent film.",positive,positive
